"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000039501.15",-1.56998195472909,4.81367859650823,62.8011963665422,9.98690020611147e-10,2.49965376126573e-09
"ENSMUSG00000020821.18",-2.87695535181868,2.44015736663215,62.6584464801049,1.02983120451339e-09,2.5750808585513e-09
"ENSMUSG00000035139.15",-1.22023569125937,5.55768641578388,62.576294658353,1.04404539733855e-09,2.60998607750584e-09
"ENSMUSG00000093661.2",-1.51302762682014,4.93028773054295,62.3057301728187,1.10158734445411e-09,2.75047722620649e-09
"ENSMUSG00000025733.18",-1.77328060490481,4.16623369853777,62.1784221435704,1.12993264106359e-09,2.82056302943537e-09
"ENSMUSG00000034998.19",-2.33945621800668,3.19864648654646,61.977910610433,1.17650142250158e-09,2.93252070315433e-09
"ENSMUSG00000057649.7",-0.915582704313497,6.57414664247218,61.851952869762,1.20553629830098e-09,3.00124034205119e-09
"ENSMUSG00000001855.16",-1.46419369222324,4.82992535988082,61.7985869889106,1.21853919817969e-09,3.03213762579116e-09
"ENSMUSG00000104852.2",-5.05399060033045,0.904078315032375,60.565423081635,1.22862280306097e-09,3.05648645833141e-09
"ENSMUSG00000020024.8",-1.58524937454252,4.64261877712748,61.7523897815238,1.22984250696857e-09,3.05877779416515e-09
"ENSMUSG00000012609.20",-2.23070820716501,3.35367280957001,61.7444505931121,1.23236268587752e-09,3.06430168214555e-09
"ENSMUSG00000021686.7",-0.885764295004048,6.6009448927068,61.6093528398608,1.26534104106638e-09,3.14401332911253e-09
"ENSMUSG00000015243.5",-1.66452644704446,4.40009278951761,61.6065646824321,1.26623524673668e-09,3.14547208272547e-09
"ENSMUSG00000109498.2",-4.35099146887509,1.08314737391901,61.2617071309919,1.2838799524021e-09,3.18853018246903e-09
"ENSMUSG00000035614.12",-1.99459810295476,3.78846276769628,61.4754189724125,1.30009344237939e-09,3.22801382711507e-09
"ENSMUSG00000062647.17",-1.18595923029879,5.92861266108247,61.3536840071548,1.33176766093401e-09,3.30425493781157e-09
"ENSMUSG00000031217.9",-2.14678909904998,3.46472462410582,61.3478518522856,1.33396273183752e-09,3.30889956393313e-09
"ENSMUSG00000050921.13",-1.80117385405154,4.15499805554311,61.336638510446,1.33657747425316e-09,3.31458268554499e-09
"ENSMUSG00000022003.8",-2.03785098397544,3.76842628558041,61.2520184884342,1.35959761278063e-09,3.36759340993935e-09
"ENSMUSG00000022361.15",-1.23940104884017,5.48959558577795,61.2290619698185,1.36550009028068e-09,3.38057817854839e-09
"ENSMUSG00000035356.18",-1.30211928592093,5.30407764527277,61.1391840742044,1.39036343534184e-09,3.43963823786743e-09
"ENSMUSG00000033470.13",-1.45086378641893,4.96914891132508,61.1320971709827,1.39237481171736e-09,3.4429509467912e-09
"ENSMUSG00000042712.11",-1.3492061416006,5.09665756636974,61.0249451583592,1.42266040437296e-09,3.51698958763888e-09
"ENSMUSG00000039952.16",-2.42983791117567,2.95567125635512,60.956593710899,1.44373064775049e-09,3.56821652853777e-09
"ENSMUSG00000028790.14",-0.85948170256267,7.12079403993175,60.9493146506594,1.44435933164564e-09,3.56890911332078e-09
"ENSMUSG00000028931.13",-1.00502457977307,6.17426001847556,60.5877492168429,1.55355067506314e-09,3.82671140307759e-09
