"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000027998.12",0.603790315206148,6.3629772900996,15.8112013351528,0.000285473160612029,0.000433029637290937
"ENSMUSG00000027709.10",1.09914698677188,5.20174648903975,15.8052175442828,0.000286193771841362,0.000434058434947317
"ENSMUSG00000058833.12",0.809983060789828,5.53848006057042,15.7930281942635,0.000287463446731248,0.000435919547145609
"ENSMUSG00000110726.2",7.18818119866609,2.40132888625855,15.9206875700909,0.000290761486483923,0.000440659831987029
"ENSMUSG00000120556.1",2.0039037443367,3.88452554713634,15.7380890120011,0.000291853788287835,0.000442118991220826
"ENSMUSG00000027635.16",2.15189925183513,3.63723980332338,15.7072258217088,0.000292158070495973,0.000442514486545365
"ENSMUSG00000050605.18",1.20818531760195,4.72075313416204,15.728540367079,0.000294811468196027,0.000446401398176184
"ENSMUSG00000025381.4",0.778209787227472,5.92458397137664,15.7043152886545,0.000297265780236902,0.000449984646938568
"ENSMUSG00000032959.13",0.726434540051365,5.91367950356648,15.6955127257711,0.000298258109156235,0.000451420061176024
"ENSMUSG00000031851.15",1.32500252308758,4.45108529562983,15.6600578117645,0.00030279528113954,0.000458151760885089
"ENSMUSG00000031562.17",2.09280361153613,3.57728563802898,15.575398039565,0.000307204306902996,0.000464754285273336
"ENSMUSG00000038963.16",1.48073024564492,4.2661418251453,15.5674066414861,0.000313737193110293,0.000474497390997581
"ENSMUSG00000091498.5",7.11677672629011,2.3395439952914,15.7001247028778,0.000315656084217876,0.00047725857906104
"ENSMUSG00000048921.12",2.39496890360795,3.61647224987912,15.4673675337334,0.000317108184864464,0.000479383325370013
"ENSMUSG00000004264.18",0.443247783063811,7.37522718558004,15.5120279229487,0.00031976349342107,0.000483326106791411
"ENSMUSG00000033016.17",0.361042246919463,8.06839262320151,15.4986640517647,0.000321393255797002,0.000485717828814061
"ENSMUSG00000011096.18",1.99108885052635,3.87507702310438,15.4827217310463,0.000321606652492157,0.000485968624199567
"ENSMUSG00000027722.15",0.918337597136837,5.34439526151511,15.4945968907683,0.000321940005935602,0.000486400581323563
"ENSMUSG00000079418.6",1.39661792245127,4.72100555343823,15.4956152867268,0.000322169959998612,0.000486676213909408
"ENSMUSG00000011877.14",0.857115486907358,5.47871087438029,15.4886869669925,0.000322650426304357,0.000487330138063592
"ENSMUSG00000067219.10",1.11772288507839,4.8948554494126,15.4663835473549,0.000325540310091669,0.000491622508988333
"ENSMUSG00000027811.10",3.73049763230196,2.75354833565678,15.3268286742746,0.000325672185519203,0.000491749155843679
"ENSMUSG00000115247.2",7.08722094688997,2.31410423595532,15.6107029127955,0.000326382852940418,0.00049274958428888
"ENSMUSG00000017802.15",1.33427605148093,4.77828069774514,15.4329818801304,0.000329864521235798,0.000497785829747612
"ENSMUSG00000070371.12",7.12009885269936,2.34396361204977,15.5666728969332,0.000331804278803167,0.000500639278653807
"ENSMUSG00000073987.5",1.4340582316737,4.31368386769661,15.400029213211,0.000334359666957323,0.000504420637645736
"ENSMUSG00000021287.13",2.47624960635441,3.3893197157175,15.2853607183383,0.000335159899349394,0.000505553415189468
"ENSMUSG00000034617.8",1.14276287431228,4.77110642648556,15.3450232477857,0.000341021084851123,0.000514167223766407
"ENSMUSG00000092118.2",2.27984803805462,3.50543567246932,15.2642603209176,0.000342832824345767,0.000516822753451479
"ENSMUSG00000032840.8",1.29722733558301,4.56443456037348,15.3320130581897,0.000342941163728758,0.000516909992481227
"ENSMUSG00000118664.1",0.740725572989709,5.81766654401889,15.3161170831209,0.000344574308258495,0.000519295183223
"ENSMUSG00000031516.12",0.50485635150111,6.69722313975441,15.3113156324369,0.000345192971944155,0.000520074495241547
"ENSMUSG00000037935.17",0.753138170763763,5.91845198875967,15.2778571703681,0.000349646802828635,0.000526552353267296
"ENSMUSG00000038451.14",2.7738735377388,3.28277895792345,15.1026027929387,0.000351928077803165,0.000529698649197996
